observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,greenhouse_gas_emissions_metric_tonnes_per_capita,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,log_real_gdp_constant_2015_usd,log_total_population,log_total_greenhouse_gas_emissions_kt_co2e,log_official_development_assistance_usd,country_name_encoded,country_name
2019,0.498632172946287,1.4355707844694303,12.843580551198746,10.557000051087426,0.075028231,62.994,0.420880401564705,1.7795780921359463,1.884162224349861,2.6433073450987195,18.21,235.46,446300.0,25.449118296618927,17.412049012392625,11.476334994042949,21.281623685317786,84,Morocco
2020,0.4947668807595112,1.5367097787228818,12.866883262379568,10.239931028293336,0.0749080950833333,63.532,0.4236738431485585,1.794386310638666,1.920212061930628,2.6709055028745574,18.51,256.72,446300.0,25.38411830198427,17.424008219838665,11.498680611854098,21.287738850932843,84,Morocco
1995,0.436120704083819,4.710245401588307,61.34507685283823,9.02961384827698,0.071226944,55.688,0.392128432022903,3.53871056110347,4.094182999632363,5.983618191761223,25.54,3354.57,328550.0,25.488297780924828,16.835330627097356,11.716608890327977,20.81556239347481,75,Malaysia
1996,0.436708834385491,5.035342931072918,61.062882361893166,7.47308267129816,0.0731286446,56.969,0.395840971948263,3.66867082034768,4.553798410752426,6.43364978687643,25.45,3314.84,328550.0,25.583632512119575,16.860871691503064,11.81466575597304,20.094669674329495,75,Malaysia
1997,0.4300933437568,5.136241158053275,60.780687870948114,6.70558722177825,0.0750303452,58.237,0.390326384847948,3.88260459772051,4.753559256478406,6.668895815430193,25.77,2610.94,328550.0,25.654302899725415,16.88647974831696,11.876185678347824,20.43505029969894,75,Malaysia
1998,0.429539828183134,2.997750852014568,60.49849338000304,7.16784032044907,0.0769320458,59.496,0.388330986827015,3.13040085436316,4.659355403683359,6.588845845018462,26.16,2807.09,328550.0,25.577860040278242,16.91175075235934,11.8893804869313,20.898629921509475,75,Malaysia
1999,0.429493742778351,4.921466664893409,60.21629888905798,7.34271482331671,0.0788337464,60.742,0.391988419708853,3.73762108627856,4.934405110952848,6.843828372899993,25.53,3553.77,328550.0,25.637426332949232,16.936168916964597,11.951767320401691,20.850664711539306,75,Malaysia
2000,0.415897589538324,4.038428623937644,59.93410439811292,4.44409990310669,0.080735447,61.977,0.397569339543363,3.58231877394933,5.244833935580246,7.15823903267068,25.66,3404.24,328550.0,25.722308402794173,16.959415090432742,12.019929796891583,20.761129866727853,75,Malaysia
2001,0.413260851045466,0.5970293182520802,59.70774615735809,4.26119995117188,0.072764744,62.922,0.40602440725788,3.65349289285095,5.346888738782532,7.260920536257891,25.76,3086.91,328550.0,25.727471802664006,16.98137017350005,12.056127277637396,20.742352526024987,75,Malaysia
2002,0.411361557327029,3.166124322504712,59.48138791660325,3.56620001792908,0.064794041,63.856,0.415773022147356,3.58261950730206,5.6315184268132485,7.581668686696278,25.94,2769.93,328550.0,25.779978749193237,17.00220990787322,12.12019335476178,20.79955998981689,75,Malaysia
2003,0.409507631343224,2.9209420945676468,59.25502967584843,3.32620000839233,0.056823338,64.78,0.424427362676053,3.32438515968981,5.8225451328223325,7.814543050455728,25.74,3250.4,328550.0,25.83625037431864,17.0222661081532,12.170502461081533,20.818812356216938,75,Malaysia
2004,0.406941547048091,3.507872620494129,59.02867143509359,3.2211000919342,0.056823338,65.694,0.426260077834131,3.70546376876534,6.251129635534967,8.28045424954746,25.69,2907.98,328550.0,25.901883025337085,17.04198337249177,12.248130675843358,20.97726444935687,75,Malaysia
2005,0.402027414071127,2.7343931256266543,58.802313194338765,3.00600004196167,0.056823338,66.594,0.416842673363545,3.84323422096875,6.477462684330446,8.528406190353948,25.73,2946.93,328550.0,25.953831427128073,17.061636347000228,12.297288089699112,20.742244599228364,75,Malaysia
2006,0.397784378347653,4.72719448835046,58.57595495358393,3.12789988517761,0.056823338,67.483,0.425716013835044,4.4371098686013,6.590348185482656,8.649354929788824,25.64,3240.83,328550.0,26.00817610843338,17.081344584268127,12.331078423161731,20.931336362865885,75,Malaysia
2007,0.403284485396275,4.6868880488533895,58.3495967128291,2.84599995613098,0.056823338,68.36,0.422343547437603,4.02571403402106,7.048555882484698,9.13759904570173,25.57,3378.51,328550.0,26.069259786536787,17.10093667899297,12.40558312274481,20.898973904700757,75,Malaysia
2008,0.390122818571901,3.2807870354773625,58.12323847207427,3.03900003433228,0.056823338,69.225,0.417428843091128,4.2132061068495,7.384710597953745,9.498824038167422,25.38,3720.94,328550.0,26.11644647429246,17.120050332449427,12.463466887563936,20.859796486526566,75,Malaysia
2009,0.382070234909948,0.0566922678201597,57.89688023131944,2.26559996604919,0.056823338,70.075,0.429848944789247,3.52302205434227,6.5267622853085685,8.604278818727416,25.68,3497.76,328550.0,26.10119547967904,17.13820711763598,12.382715609592188,20.84535957050021,75,Malaysia
2010,0.375097920825139,4.2686638663911225,57.6705219905646,1.95539999008179,0.048852635,70.912,0.454567091949989,3.77923597411357,7.058628841406425,9.187455429355076,25.8,3281.77,328550.0,26.17281680266891,17.1551172116964,12.465204769176607,20.706933186975768,75,Malaysia
2011,0.369973092245655,5.07445534647755,57.98497641150511,2.16380000114441,0.048852635,71.609,0.455475505499567,3.79495839754019,7.038856147308422,9.180494532783923,25.58,3540.22,328550.0,26.22440222630667,17.17069761312558,12.480027174936128,20.75355253519251,75,Malaysia
2012,0.363901445840708,2.82905646583735,58.2994308324456,2.51979994773865,0.048852635,72.275,0.485336491629729,3.84280024054898,6.9932117202072686,9.14745669226246,25.77,3343.6,328550.0,26.277691342545037,17.185155007094714,12.490879338036375,20.731491913945966,75,Malaysia
2013,0.374838490155748,3.494301778732019,58.61388525338609,2.74790000915527,0.048852635,72.93,0.500624918969461,4.11086400716252,7.459383568242382,9.601301004451368,25.87,3222.1,328550.0,26.323560315860036,17.198846842340487,12.55299367432491,20.59159557634967,75,Malaysia
2014,0.372191483629807,3.141267794900328,58.928339674326594,3.02999997138977,0.048852635,73.577,0.530909387709474,4.21657910201757,7.757158613871292,9.918770147501862,25.78,2936.18,328550.0,26.38189263655414,17.212251591507197,12.598928591223169,20.733077548803994,75,Malaysia
2015,0.360533377976738,3.27094905445992,59.24279409526708,3.40630006790161,0.040881932,74.213,0.533754200290985,3.96312342986092,7.682279041979665,9.84342587030179,26.01,2783.16,328550.0,26.431554158329174,17.225699593273635,12.604751445315845,20.71254861657037,75,Malaysia
2016,0.385909531863354,4.471319286797345,58.78752092527774,4.43120002746582,0.040881932,74.84,0.509404362472766,3.91763991331535,7.451282158911237,9.609364316727463,26.3,2963.33,328550.0,26.475090367451095,17.239273185284492,12.594259337838066,20.659388435617323,75,Malaysia
2017,0.389582567817839,2.935792390750236,58.6348805356871,5.22349977493286,0.040881932,75.447,0.492424249713668,3.98733541124429,7.165808461788115,9.314682963048456,25.85,3418.04,328550.0,26.531590943277976,17.25286807655488,12.576708185281452,20.68316233887222,75,Malaysia
2018,0.396513037081481,2.3145694203903053,58.48224014609649,5.3105001449585,0.040881932,76.036,0.502116377184007,4.2594544380563,7.600220413369905,9.72689923281925,25.89,3354.01,328550.0,26.578885290315153,17.26638767626289,12.633530790692062,20.67763019749253,75,Malaysia
2019,0.396513037081481,2.5063006072916068,58.32959975650586,5.148799549162044,0.040881932,76.607,0.510476119185972,4.290791128358597,7.752656822662841,9.849000200310227,26.17,2717.01,328550.0,26.6223227857896,17.279676165996264,12.65929398113297,20.71918753618428,75,Malaysia
2020,0.3948627176230502,1.279802999355416,58.17695936691523,5.047743761243082,0.0396175565,77.16,0.5154072728177665,4.31783983740255,7.891737623180685,9.963412943504675,26.05,3239.07,328550.0,26.564196252263706,17.292619016162348,12.683786485197409,20.71496313558435,75,Malaysia
1995,0.630228388263121,1.8122583775768413,2.733333333333333,3.31846451019339,0.043929507,25.638,0.37552104205391,3.2436699919529097,1.0230420548980106,1.298476454293629,27.98,2365.0,300.0,21.065188199670978,12.445660249260316,5.802118375377063,20.76482036897062,76,Maldives
1996,0.61831862148799,2.0682987256816827,2.733333333333333,3.1609785777111,0.043929507,26.008,0.375648473465065,3.2436699919529097,1.0803386089868738,1.3504232612335925,27.68,2365.0,300.0,21.140839558748933,12.465274221659561,5.860786223465865,20.739562329057733,76,Maldives
1997,0.623589510668083,2.2448550885018483,2.733333333333333,2.72304595058001,0.043929507,26.379,0.373295133225882,3.2436699919529097,1.2886793310996223,1.59189799724071,28.02,2365.0,300.0,21.221478465500528,12.483086767201188,6.042632833682381,20.736596590285945,76,Maldives
1998,0.618493332054733,2.132576087287988,2.733333333333333,3.02727798129573,0.0425918726,26.755,0.370901006094333,3.2436699919529097,1.154798934604854,1.490063141425618,28.09,2365.0,300.0,21.29374966557883,12.500405055385821,5.993961427306569,20.737927827078636,76,Maldives
1999,0.614551237241383,2.09121158653824,2.733333333333333,2.20041860787177,0.0425918726,27.134,0.380301537200721,3.2436699919529097,1.5720856092014537,1.9011267832203624,27.95,2365.0,300.0,21.353674332596682,12.519140992372366,6.255750041753367,20.74342134757753,76,Maldives
2000,0.615449828702543,3.573781889063085,2.733333333333333,2.34330010414124,0.0425918726,27.706,0.390001990450895,3.2436699919529097,1.6464086815845609,2.0043236123638133,27.68,2365.0,300.0,21.39141135321838,12.540388988453152,6.329720905522696,20.73131337232606,76,Maldives
2001,0.602354239059148,2.3609579201236337,2.733333333333333,2.2613000869751,0.0425918726,28.859,0.398188378344779,3.2436699919529097,1.676510343719548,2.0607106308219443,27.84,2365.0,300.0,21.351176328563444,12.564830418873012,6.3818160174060985,20.73543153747927,76,Maldives
2002,0.599006876756134,2.75560074067064,2.733333333333333,1.78310000896454,0.0412542382,30.042,0.406876438545092,3.2436699919529097,2.073525162737733,2.447439536346177,27.93,2365.0,300.0,21.42134011981096,12.591967499341461,6.580639137284949,20.734670560279746,76,Maldives
2003,0.590118341380545,3.0200360906042523,2.733333333333333,2.22000002861023,0.0399166038,31.252,0.417032958648523,3.2436699919529097,1.7510183989084218,2.114437311889415,27.75,2365.0,300.0,21.55017342957602,12.620438028425058,6.46302945692067,20.730181870398937,76,Maldives
